"cmpttn_yr","admdst_cd","admdst_se_cd","admdst_nm","bldg_elpwr_use_cbn_ehqty","bldg_gas_use_cbn_ehqty","bldg_hetng_use_cbn_ehqty","trsp_lv6_cbn_ehqty","sum_ehqty","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt"
"2016","4157000000",ADM002,김포시,1351867.4600000000,245050.4400000000,35949.4900000000,0.0000000000,1632867.3900000000,system,2025-06-11 17:19:43.911,system,2025-06-11 17:19:43.911
"2016","4159000000",ADM002,화성시,7225739.1700000000,1151562.6000000000,92685.9200000000,0.0000000000,8469987.6900000000,system,2025-06-11 17:19:43.911,system,2025-06-11 17:19:43.911
"2016","4161000000",ADM002,광주시,993050.8100000000,272342.4400000000,0.0000000000,0.0000000000,1265393.2500000000,system,2025-06-11 17:19:43.911,system,2025-06-11 17:19:43.911
"2016","4163000000",ADM002,양주시,839544.6200000000,265966.2600000000,7757.3100000000,0.0000000000,1113268.1900000000,system,2025-06-11 17:19:43.911,system,2025-06-11 17:19:43.911
"2016","4165000000",ADM002,포천시,1047107.0900000000,89134.4100000000,0.0000000000,0.0000000000,1136241.5000000000,system,2025-06-11 17:19:43.911,system,2025-06-11 17:19:43.911
"2016","4167000000",ADM002,여주시,527340.5400000000,112527.9000000000,0.0000000000,0.0000000000,639868.4400000000,system,2025-06-11 17:19:43.911,system,2025-06-11 17:19:43.911
"2016","4180000000",ADM002,연천군,158854.7400000000,22258.3200000000,0.0000000000,0.0000000000,181113.0600000000,system,2025-06-11 17:19:43.911,system,2025-06-11 17:19:43.911
"2016","4182000000",ADM002,가평군,252842.7000000000,16932.6900000000,0.0000000000,0.0000000000,269775.3900000000,system,2025-06-11 17:19:43.911,system,2025-06-11 17:19:43.911
"2016","4183000000",ADM002,양평군,359172.4000000000,24787.7100000000,0.0000000000,0.0000000000,383960.1100000000,system,2025-06-11 17:19:43.911,system,2025-06-11 17:19:43.911
"2017","4111000000",ADM002,수원시,2411585.8200000000,1067791.0100000000,168009.6000000000,0.0000000000,3647386.4300000000,system,2025-06-11 17:19:43.911,system,2025-06-11 17:19:43.911
"2017","4113000000",ADM002,성남시,2113138.2900000000,747573.3000000000,218384.2900000000,0.0000000000,3079095.8800000000,system,2025-06-11 17:19:43.911,system,2025-06-11 17:19:43.911
"2017","4115000000",ADM002,의정부시,642835.8300000000,410974.4200000000,9358.0900000000,0.0000000000,1063168.3400000000,system,2025-06-11 17:19:43.911,system,2025-06-11 17:19:43.911
